"TestCase","User"
"test_ALM166000_Last3MonthsTimeframeOnEmployeeTimecard","Rohit"
"test_ALM165999_Last4WeeksTimeframeOnEmployeeTimecard","Rohit"
"test_ALM165996_Last4QuatersTimeframeOnEmployeeTimecard","Rohit"
"test_ALM165980_Last4WeeksTimeframeOnMyTimecard","Rohit"
"test_ALM234376_VerifyRemoveAllApprovalButtonIsNotVisibleInMyTimecardForEmpAndManager","test1"
"test_ALM183120_Manager_Can_See_The_Employee_Summary_And_Timecards_Under_The_Time_Section_In_The_Left","Vikash"
"test_ALM126767_HourlyTimecard_ViewAndEditAFlankingDayWithDAWFixedRule","Nitesh"
"test_ALM125204_VerifyEditFutureHourlytimecardMaximumDays","test1"
"test_ALM115006_VerifyNoEditsForDaysInFutureInHourlyTimecardGridEnterIncorrectlyPunchesForToday","test1"
"test_ALM115004_VerifyNoEditsForDaysInDutureInHourlyTimecardGridEnterpunchesForToday","test1"
"test_ALM114952_VerifyNoEditsForDaysInFutureInProjectTimecardGridEnterPayCodeForToday","test1"
"test_ALM113366_Timecard_landing_page_integration","Naman"
"test_ALM109485_Manager_Job_work_rule_direct_CC_transfer_in_the_timecard_when_employee_Primary_job_has_associated_CC_Project","Ayushi"
"test_ALM109484_Employee_Job_Select_CC_transfer_in_the_timecard_when_employee_Primary_job_has_no_CC_Project","test1"
"test_ALM108784_Employee_removes_signoff_on_their_timecard_ProjectView","Mohit"
"test_ALM108773_ManagerJobPrimaryCCTransferInTimecardWhenEmployeePrimaryJobHasAssociatedCC","Naman"
"test_ALM96451_Verify_employee_can_update_job_transfer_in_the_timecard","Naman"
"test_ALM96144_EmployeeJobAndSelectCCTransferInTheTimecardWhenEmployeePrimaryJobHasNoCCHourly","Ayushi"
"test_ALM94942_ApproveProjectTimecardWithPreApprovedRangeofDates","Vikash"
"test_ALM87824_Using_approval_and_signoff_in_My_Timecard","test1"
"test_ALM67300_VerifyManagerApprovesProjectEmployeeTimecardAfterTheEmployeeApprovesIt","Nitesh"
"test_ALM62834_DisplayTimeVerifyTimecardLoadedTimeOnSaveProjectView","Naman"
"test_ALM59151_Manager_is_able_to_view_multiple_timecard_grids_after_performing_grid_action","Nitesh"
"test_ALM56326_UCVerifyManagerSelectAnEmployeeAndDeleteARowInHourlyTimecard","test1"
"test_ALM56324_ManagerTimecardVerifyEditDataApprovalByOtherFAP","Rohit"
"test_ALM56260_Manager_approves_an_employees_timecard_after_the_employee_approves_it","Rohit"
"test_ALM54871_Employeeremovessignoffontheirtimecard","test1"
"test_ALM17378_EmployeeApprovesTheirTimecard","Rohit"
